Model,EngineDisplacement,Cylinders,Trans,Drive,Fuel,VehClass,AirPollutionScore,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,CombCO2
CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,small SUV,7,26,31,28,6,No,317
CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,small SUV,7,24,30,26,5,No,340
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,midsize car,7,27,35,30,6,No,292
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,pickup,7,19,21,20,4,No,453
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,pickup,7,19,22,20,4,No,446
CHEVROLET Silverado,2.7,4,Auto-8,4WD,Gasoline,pickup,7,18,21,19,4,No,459
CHEVROLET Silverado,2.7,4,Auto-8,4WD,Gasoline,pickup,7,18,21,19,4,No,462
CHEVROLET Silverado,3,6,Auto-10,2WD,Diesel,pickup,5,24,29,26,5,No,396
CHEVROLET Silverado,3,6,Auto-10,4WD,Diesel,pickup,5,22,27,24,4,No,423
CHEVROLET Silverado,3,6,Auto-10,4WD,Diesel,pickup,5,22,27,24,4,No,425
CHEVROLET Silverado,5.3,8,Auto-10,2WD,Gasoline,pickup,6,16,20,18,4,No,500
CHEVROLET Silverado,5.3,8,Auto-10,2WD,Gasoline,pickup,6,17,21,19,4,No,478
CHEVROLET Silverado,5.3,8,Auto-10,2WD,Gasoline,special purpose,6,15,18,16,3,No,553
CHEVROLET Silverado,5.3,8,Auto-10,4WD,Gasoline,pickup,6,15,19,17,3,No,535
CHEVROLET Silverado,5.3,8,Auto-10,4WD,Gasoline,pickup,6,16,20,17,3,No,523
CHEVROLET Silverado,5.3,8,Auto-10,4WD,Gasoline,special purpose,6,15,17,16,3,No,564
CHEVROLET Silverado,6.2,8,Auto-10,4WD,Gasoline,pickup,6,16,20,17,3,No,513
CHEVROLET Suburban,3,6,Auto-10,2WD,Diesel,standard SUV,3,21,27,23,4,No,442
CHEVROLET Suburban,3,6,Auto-10,4WD,Diesel,standard SUV,3,20,26,22,4,No,462
CHEVROLET Suburban,5.3,8,Auto-10,2WD,Gasoline,standard SUV,6,15,20,17,3,No,527
CHEVROLET Suburban,5.3,8,Auto-10,4WD,Gasoline,standard SUV,6,15,19,16,3,No,545
CHEVROLET Suburban,6.2,8,Auto-10,2WD,Gasoline,standard SUV,6,14,20,16,3,No,555
CHEVROLET Suburban,6.2,8,Auto-10,4WD,Gasoline,standard SUV,6,14,18,16,3,No,564
CHEVROLET Tahoe,3,6,Auto-10,2WD,Diesel,standard SUV,3,21,28,24,4,No,428
CHEVROLET Tahoe,3,6,Auto-10,4WD,Diesel,standard SUV,3,20,26,22,4,No,462
CHEVROLET Tahoe,5.3,8,Auto-10,2WD,Gasoline,standard SUV,6,15,20,17,3,No,527
CHEVROLET Tahoe,5.3,8,Auto-10,4WD,Gasoline,standard SUV,6,14,18,16,3,No,566
CHEVROLET Tahoe,5.3,8,Auto-10,4WD,Gasoline,standard SUV,6,15,20,17,3,No,527
CHEVROLET Tahoe,6.2,8,Auto-10,2WD,Gasoline,standard SUV,6,14,20,16,3,No,555
CHEVROLET Tahoe,6.2,8,Auto-10,4WD,Gasoline,standard SUV,6,14,18,16,3,No,564
CHEVROLET Trailblazer,1.2,3,CVT,2WD,Gasoline,small SUV,7,29,31,30,6,No,296
CHEVROLET Trailblazer,1.3,3,Auto-9,4WD,Gasoline,small SUV,7,26,30,28,6,No,320
CHEVROLET Trailblazer,1.3,3,CVT,2WD,Gasoline,small SUV,7,29,33,31,6,No,290
CHEVROLET Traverse,3.6,6,Auto-9,2WD,Gasoline,standard SUV,6,18,27,21,4,No,417
CHEVROLET Traverse,3.6,6,Auto-9,4WD,Gasoline,standard SUV,6,17,25,20,4,No,448
CHRYSLER 300,3.6,6,Auto-8,2WD,Gasoline,large car,5,19,30,23,5,No,389
CHRYSLER 300,3.6,6,Auto-8,4WD,Gasoline,large car,5,18,27,21,4,No,415
CHRYSLER 300,5.7,8,Auto-8,2WD,Gasoline,large car,3,16,25,19,4,No,466
CHRYSLER 300,6.4,8,Auto-8,2WD,Gasoline,large car,1,15,24,18,4,No,495
CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,minivan,7,19,28,22,5,No,401
CHRYSLER Pacifica,3.6,6,Auto-9,4WD,Gasoline,minivan,7,17,25,20,4,No,450
CHRYSLER Voyager,3.6,6,Auto-9,2WD,Gasoline,minivan,7,19,28,22,5,No,401
DODGE Challenger,3.6,6,Auto-8,2WD,Gasoline,midsize car,5,19,30,23,5,No,389
DODGE Challenger,3.6,6,Auto-8,4WD,Gasoline,midsize car,5,18,27,21,4,No,415
DODGE Challenger,5.7,8,Auto-8,2WD,Gasoline,midsize car,3,16,25,19,4,No,466
DODGE Challenger,5.7,8,Man-6,2WD,Gasoline,midsize car,1,15,23,18,4,No,494
DODGE Challenger,6.4,8,Auto-8,2WD,Gasoline,midsize car,1,15,24,18,4,No,495
DODGE Challenger,6.4,8,Man-6,2WD,Gasoline,midsize car,1,14,23,17,3,No,523
